,title,artist,region,date,stream,Rank
4987,Si Veo a Tu Mamá,Bad Bunny,Mexico,2020-05,10557160,8
4988,Morado,J Balvin,Mexico,2020-05,10336760,9
4989,Tattoo,Rauw Alejandro,Mexico,2020-05,10013906,10
4990,Todo De Ti,Rauw Alejandro,Mexico,2021-06,45945936,1
4991,Yonaguni,Bad Bunny,Mexico,2021-06,34805115,2
4992,Botella Tras Botella,"Gera MX, Christian Nodal",Mexico,2021-06,25627747,3
4993,Pareja Del Año,"Sebastian Yatra, Myke Towers",Mexico,2021-06,19652512,4
4994,Fiel,"Los Legendarios, Wisin, Jhay Cortez",Mexico,2021-06,17986660,5
4995,AM,"Nio Garcia, Flow La Movie",Mexico,2021-06,15631396,6
4996,Qué Más Pues?,"J Balvin, Maria Becerra",Mexico,2021-06,14606561,7
4997,DÁKITI,"Bad Bunny, Jhay Cortez",Mexico,2021-06,14420537,8
4998,2/Catorce,"Rauw Alejandro, Mr. Naisgai",Mexico,2021-06,14072869,9
4999,EL MAKINON,"KAROL G, Mariah Angeliq",Mexico,2021-06,11599173,10
5000,HIGHEST IN THE ROOM,Travis Scott,Morocco,2019-10,115303,1
5001,Dance Monkey,Tones And I,Morocco,2019-10,88993,2
5002,NTA,Manal,Morocco,2019-10,82849,3
5003,Lalala,"Y2K, bbno$",Morocco,2019-10,80218,4
5004,Groupies,ElGrandeToto,Morocco,2019-10,64873,5
5005,Ykhalik Lili,Saad Lamjarred,Morocco,2019-10,63660,6
5006,"Babor (with Shayfeen, Hornet La Frappe)",Naar,Morocco,2019-10,62333,7
5007,Señorita,"Shawn Mendes, Camila Cabello",Morocco,2019-10,60034,8
5008,Mali Yana,Ayoub Africano,Morocco,2019-10,59399,9
5009,Lghrib,L7or,Morocco,2019-10,58131,10
5010,Hors Série - RapRapRapRap,"ElGrandeToto, Draganov, Don Bigg, Khtek",Morocco,2020-02,192269,1
5011,Ddd,"Don Bigg, ElGrandeToto",Morocco,2020-02,138848,2
5012,Godzilla (feat. Juice WRLD),Eminem,Morocco,2020-02,129806,3
5013,The Box,Roddy Ricch,Morocco,2020-02,123253,4
5014,Dance Monkey,Tones And I,Morocco,2020-02,117009,5
5015,Falling,Trevor Daniel,Morocco,2020-02,107445,6
5016,Meleğim,"Soolking, Dadju",Morocco,2020-02,104009,7
5017,Alach Ya Lil,Hatim Ammor,Morocco,2020-02,95073,8
5018,7elmet Ado 4,ElGrandeToto,Morocco,2020-02,86987,9
5019,Blinding Lights,The Weeknd,Morocco,2020-02,84566,10
5020,Africain,Stormy,Morocco,2020-06,243275,1
5021,Fratello,"Tagne, Stormy, Khtek",Morocco,2020-06,194557,2
5022,Toosie Slide,Drake,Morocco,2020-06,141469,3
5023,Si tu savais,"Anys, Stormy",Morocco,2020-06,137647,4
5024,GOOBA,6ix9ine,Morocco,2020-06,127982,5
5025,Roses - Imanbek Remix,SAINt JHN,Morocco,2020-06,125483,6
5026,Ça fait des années,"Soolking, Cheb Mami",Morocco,2020-06,122389,7
5027,ROCKSTAR (feat. Roddy Ricch),DaBaby,Morocco,2020-06,122131,8
5028,Nevada,Madd,Morocco,2020-06,111440,9
5029,Meleğim,"Soolking, Dadju",Morocco,2020-06,107414,10
5030,L'baida mon amour,7ari,Morocco,2020-10,519207,1
5031,love nwantiti (feat. ElGrande Toto) - North African Remix,"CKay, ElGrandeToto",Morocco,2020-10,493866,2
5032,Nasa,"Snor, Tagne, Stormy",Morocco,2020-10,361628,3
5033,OU TT,"Stormy, Draganov",Morocco,2020-10,341481,4
5034,Flouka,"Tagne, Snor",Morocco,2020-10,239896,5
5035,Lalala,Snor,Morocco,2020-10,237981,6
5036,حس بيا,L7or,Morocco,2020-10,235124,7
5037,Africain,Stormy,Morocco,2020-10,225768,8
5038,Fratello,"Tagne, Stormy, Khtek",Morocco,2020-10,215504,9
5039,Halla halla,ElGrandeToto,Morocco,2020-10,194305,10
5040,Thezz (feat. Smallx),ElGrandeToto,Morocco,2021-03,1124471,1
5041,ALOHA!,ElGrandeToto,Morocco,2021-03,1104553,2
5042,Mghayer,ElGrandeToto,Morocco,2021-03,1094058,3
5043,Tango,ElGrandeToto,Morocco,2021-03,1063313,4
5044,Obscurité (feat. Hamza),ElGrandeToto,Morocco,2021-03,994749,5
5045,Ailleurs (feat. Lefa),ElGrandeToto,Morocco,2021-03,953774,6
5046,Etranger (feat. Damso),ElGrandeToto,Morocco,2021-03,836945,7
5047,#OuDiriHakka,ElGrandeToto,Morocco,2021-03,792696,8
5048,Santa Fe,ElGrandeToto,Morocco,2021-03,787650,9
5049,WAH (feat. 3robi),ElGrandeToto,Morocco,2021-03,751752,10
5050,Haram (Pablo II),ElGrandeToto,Morocco,2021-06,766354,1
5051,Nadi Canadi,Tagne,Morocco,2021-06,604818,2
5052,Mghayer,ElGrandeToto,Morocco,2021-06,437591,3
5053,Lili,Plylist,Morocco,2021-06,384408,4
5054,love nwantiti (feat. ElGrande Toto) - North African Remix,"CKay, ElGrandeToto",Morocco,2021-06,328130,5
5055,ALOHA!,ElGrandeToto,Morocco,2021-06,280216,6
5056,Tt Va Bien,Draganov,Morocco,2021-06,279690,7
5057,7ali Ya 7ali,Inkonnu,Morocco,2021-06,256160,8
5058,N,Madd,Morocco,2021-06,253366,9
5059,MONTERO (Call Me By Your Name),Lil Nas X,Morocco,2021-06,251592,10
5060,Chill,Inkonnu,Morocco,2021-11,600425,1
5061,love nwantiti (feat. ElGrande Toto) - North African Remix,"CKay, ElGrandeToto",Morocco,2021-11,528080,2
5062,Lbaroud,"Draganov, Inkonnu",Morocco,2021-11,516370,3
5063,Sac,Draganov,Morocco,2021-11,391115,4
5064,Haram (Pablo II),ElGrandeToto,Morocco,2021-11,382661,5
5065,Sucré Salé,L'morphine,Morocco,2021-11,325180,6
5066,La rwina,kouz1,Morocco,2021-11,311803,7
5067,MILANO,7-Toun,Morocco,2021-11,305654,8
5068,Nadi Canadi,Tagne,Morocco,2021-11,275828,9
5069,J'en ai marre !,"kouz1, Tagne",Morocco,2021-11,270947,10
5070,Shape of You,Ed Sheeran,Netherlands,2017-03,9474197,1
5071,It Ain't Me (with Selena Gomez),Kygo,Netherlands,2017-03,6242755,2
5072,Habiba,Boef,Netherlands,2017-03,6233141,3
5073,"Tempo (feat. Sevn Alias, Bko & Boef)",Jairzinho,Netherlands,2017-03,5978100,4
5074,Energie,"Ronnie Flex, Frenna",Netherlands,2017-03,5074271,5
5075,Castle on the Hill,Ed Sheeran,Netherlands,2017-03,4733944,6
5076,Scared to Be Lonely,"Martin Garrix, Dua Lipa",Netherlands,2017-03,4668846,7
5077,Galway Girl,Ed Sheeran,Netherlands,2017-03,4661790,8
5078,Something Just Like This,"The Chainsmokers, Coldplay",Netherlands,2017-03,4605053,9
5079,Salam,"Boef, Soufiane Eddyani",Netherlands,2017-03,4604064,10
5080,Blijf Bij Mij,"Ronnie Flex, Maan",Netherlands,2018-01,6909068,1
5081,"4/5 - From “Patser""""",Ronnie Flex,Netherlands,2018-01,6223035,2
5082,JA!,"Bizzey, Kraantje Pappie, Chivv, Yung Felix",Netherlands,2018-01,5614078,3
5083,Officieel,Broederliefde,Netherlands,2018-01,4695077,4
5084,River (feat. Ed Sheeran),Eminem,Netherlands,2018-01,4544400,5
5085,Coño,"Puri, Jhorrmountain, Adje",Netherlands,2018-01,4193696,6
5086,Zoutelande,BLØF,Netherlands,2018-01,3781202,7
5087,rockstar,"Post Malone, 21 Savage",Netherlands,2018-01,3540032,8
5088,I Miss You (feat. Julia Michaels),Clean Bandit,Netherlands,2018-01,3484772,9
5089,Skittle Stacking,Josylvio,Netherlands,2018-01,3475944,10
5090,Verleden Tijd,"Frenna, Lil Kleine",Netherlands,2018-10,9411834,1
5091,Culo,"Bizzey, Frenna, KM, Ramiks",Netherlands,2018-10,8030370,2
5092,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,Netherlands,2018-10,5448147,3
5093,Djadja,Aya Nakamura,Netherlands,2018-10,5406492,4
5094,Duurt Te Lang,Davina Michelle,Netherlands,2018-10,5322034,5
5095,In My Mind,"Dynoro, Gigi D'Agostino",Netherlands,2018-10,5266837,6
5096,Happier,"Marshmello, Bastille",Netherlands,2018-10,4954397,7
5097,Promises (with Sam Smith),"Calvin Harris, Jessie Reyez",Netherlands,2018-10,4865683,8
5098,Be Alright,Dean Lewis,Netherlands,2018-10,4844222,9
5099,SLIDE,"Caza, Famke Louise",Netherlands,2018-10,4775359,10
5100,Duurt Te Lang,Davina Michelle,Netherlands,2018-11,11003922,1
5101,Speciaal,"Frenna, Boef, DJ Madam Julie, Kaeh",Netherlands,2018-11,7026941,2
5102,HUTS,"The Blockparty, Esko, Mouad Locos, JoeyAK, Young Ellens, Chivv",Netherlands,2018-11,7001320,3
5103,Verleden Tijd,"Frenna, Lil Kleine",Netherlands,2018-11,6733478,4
5104,Culo,"Bizzey, Frenna, KM, Ramiks",Netherlands,2018-11,6669485,5
5105,Sweet but Psycho,Ava Max,Netherlands,2018-11,5484347,6
5106,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,Netherlands,2018-11,5454138,7
5107,"thank u, next",Ariana Grande,Netherlands,2018-11,5369271,8
5108,SLIDE,"Caza, Famke Louise",Netherlands,2018-11,4877619,9
5109,Voorbij,"Josylvio, Moeman",Netherlands,2018-11,4517244,10
5110,Dance Monkey,Tones And I,Netherlands,2019-10,11585225,1
5111,Reünie,Snelle,Netherlands,2019-10,7886719,2
5112,Lippenstift,"Marco Borsato, Snelle, John Ewbank",Netherlands,2019-10,7753959,3
5113,Circles,Post Malone,Netherlands,2019-10,5933643,4
5114,Memories,Maroon 5,Netherlands,2019-10,5567306,5
5115,Blauwe Dag,Suzan & Freek,Netherlands,2019-10,5322495,6
5116,Vroeger,"Josylvio, Esko",Netherlands,2019-10,5137055,7
5117,Señorita,"Shawn Mendes, Camila Cabello",Netherlands,2019-10,4980854,8
5118,Hoe Het Danst,"Marco Borsato, Armin van Buuren, Davina Michelle",Netherlands,2019-10,4825962,9
5119,Someone You Loved,Lewis Capaldi,Netherlands,2019-10,4688393,10
5120,Smoorverliefd,Snelle,Netherlands,2020-01,8128676,1
5121,Blinding Lights,The Weeknd,Netherlands,2020-01,7820635,2
5122,Dance Monkey,Tones And I,Netherlands,2020-01,6586551,3
5123,Pa Olvidarte (Beste Zangers Seizoen 2019),"Emma Heesters, Rolf Sanchez",Netherlands,2020-01,6101979,4
5124,ROXANNE,Arizona Zervas,Netherlands,2020-01,5185935,5
5125,Don't Start Now,Dua Lipa,Netherlands,2020-01,5045768,6
5126,Memories,Maroon 5,Netherlands,2020-01,4966026,7
5127,The Box,Roddy Ricch,Netherlands,2020-01,4627884,8
5128,everything i wanted,Billie Eilish,Netherlands,2020-01,4535925,9
5129,Ze Huilt Maar Ze Lacht,Maan,Netherlands,2020-01,4383373,10
5130,Mood (feat. iann dior),24kGoldn,Netherlands,2020-11,5760318,1
5131,Lonely (with benny blanco),Justin Bieber,Netherlands,2020-11,5666075,2
5132,The Business,Tiësto,Netherlands,2020-11,5104471,3
5133,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,Netherlands,2020-11,5045991,4
5134,Head & Heart (feat. MNEK),Joel Corry,Netherlands,2020-11,4949162,5
5135,Scooter,"Yssi SB, Qlas & Blacka, Ashafar, ADF Samski",Netherlands,2020-11,4791980,6
5136,positions,Ariana Grande,Netherlands,2020-11,4476444,7
5137,Holy (feat. Chance The Rapper),Justin Bieber,Netherlands,2020-11,4296962,8
5138,Door De Wind,Miss Montreal,Netherlands,2020-11,4080741,9
5139,In De Schuur,"Snelle, Ronnie Flex",Netherlands,2020-11,3882851,10
5140,God's Plan,Drake,New Zealand,2018-02,1884962,1
5141,All The Stars (with SZA),Kendrick Lamar,New Zealand,2018-02,1117991,2
5142,IDGAF,Dua Lipa,New Zealand,2018-02,1092069,3
5143,Finesse - Remix; feat. Cardi B,Bruno Mars,New Zealand,2018-02,1088008,4
5144,I Fall Apart,Post Malone,New Zealand,2018-02,1064748,5
5145,Mine,Bazzi,New Zealand,2018-02,1009559,6
5146,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,New Zealand,2018-02,992492,7
5147,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,New Zealand,2018-02,932992,8
5148,River (feat. Ed Sheeran),Eminem,New Zealand,2018-02,897232,9
5149,Never Be the Same,Camila Cabello,New Zealand,2018-02,861369,10
5150,ROXANNE,Arizona Zervas,New Zealand,2019-12,1640720,1
5151,Dance Monkey,Tones And I,New Zealand,2019-12,1451708,2
5152,Circles,Post Malone,New Zealand,2019-12,1239501,3
5153,Catching Feelings (feat. SIX60),Drax Project,New Zealand,2019-12,1097472,4
5154,Memories,Maroon 5,New Zealand,2019-12,1091748,5
5155,Don't Start Now,Dua Lipa,New Zealand,2019-12,1050232,6
5156,All I Want for Christmas Is You,Mariah Carey,New Zealand,2019-12,1006477,7
5157,Glitter,BENEE,New Zealand,2019-12,1006201,8
5158,hot girl bummer,blackbear,New Zealand,2019-12,989250,9
5159,Please Don't Go,SIX60,New Zealand,2019-12,937695,10
5160,The Box,Roddy Ricch,New Zealand,2020-02,1508503,1
5161,In the Air,L.A.B.,New Zealand,2020-02,1310695,2
5162,Blinding Lights,The Weeknd,New Zealand,2020-02,1198293,3
5163,Don't Start Now,Dua Lipa,New Zealand,2020-02,1194270,4
5164,Dance Monkey,Tones And I,New Zealand,2020-02,1110588,5
5165,Glitter,BENEE,New Zealand,2020-02,1090175,6
5166,Yummy,Justin Bieber,New Zealand,2020-02,1012045,7
5167,ROXANNE,Arizona Zervas,New Zealand,2020-02,969537,8
5168,Catching Feelings (feat. SIX60),Drax Project,New Zealand,2020-02,922253,9
5169,Say So,Doja Cat,New Zealand,2020-02,897561,10
5170,drivers license,Olivia Rodrigo,New Zealand,2021-01,2119516,1
5171,Why Oh Why,L.A.B.,New Zealand,2021-01,1345503,2
5172,In The Air,L.A.B.,New Zealand,2021-01,1054459,3
5173,Controller,L.A.B.,New Zealand,2021-01,1042789,4
5174,Not My Neighbour,Niko Walters,New Zealand,2021-01,945052,5
5175,Good Days,SZA,New Zealand,2021-01,913668,6
5176,Mood (feat. iann dior),24kGoldn,New Zealand,2021-01,893580,7
5177,Levitating (feat. DaBaby),Dua Lipa,New Zealand,2021-01,884228,8
5178,Sundown,SIX60,New Zealand,2021-01,882371,9
5179,WITHOUT YOU,The Kid LAROI,New Zealand,2021-01,873976,10
5180,Callaita,"Bad Bunny, Tainy",Nicaragua,2019-06,61775,1
5181,Otro Trago,"Sech, Darell",Nicaragua,2019-06,57045,2
5182,Soltera - Remix,"Lunay, Daddy Yankee, Bad Bunny",Nicaragua,2019-06,41933,3
5183,Verte Ir,"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago",Nicaragua,2019-06,31509,4
5184,Pa Mí - Remix,"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez",Nicaragua,2019-06,30098,5
5185,Con Calma,"Daddy Yankee, Snow",Nicaragua,2019-06,23190,6
5186,Te Vi,"Piso 21, Micro TDH",Nicaragua,2019-06,22767,7
5187,Cuaderno,"Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön",Nicaragua,2019-06,20690,8
5188,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,Nicaragua,2019-06,18804,9
5189,LA CANCIÓN,"J Balvin, Bad Bunny",Nicaragua,2019-06,18394,10
5190,Tusa,"KAROL G, Nicki Minaj",Nicaragua,2020-02,255491,1
5191,Vete,Bad Bunny,Nicaragua,2020-02,172767,2
5192,Dance Monkey,Tones And I,Nicaragua,2020-02,149131,3
5193,Fantasias,"Rauw Alejandro, Farruko",Nicaragua,2020-02,147578,4
5194,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Nicaragua,2020-02,138760,5
5195,Ignorantes,"Bad Bunny, Sech",Nicaragua,2020-02,138235,6
5196,LA CANCIÓN,"J Balvin, Bad Bunny",Nicaragua,2020-02,124382,7
5197,Girl,Myke Towers,Nicaragua,2020-02,124209,8
5198,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",Nicaragua,2020-02,117283,9
5199,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Nicaragua,2020-02,115283,10
5200,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Norway,2017-05,7206430,1
5201,Fy Faen,"Hkeem, Temur",Norway,2017-05,5489851,2
5202,I'm the One,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",Norway,2017-05,4427396,3
5203,First Time,"Kygo, Ellie Goulding",Norway,2017-05,4327933,4
5204,Tuesday,"Burak Yeter, Danelle Sandoval",Norway,2017-05,3716691,5
5205,Symphony (feat. Zara Larsson),Clean Bandit,Norway,2017-05,3185066,6
5206,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,Norway,2017-05,3107565,7
5207,It Ain't Me (with Selena Gomez),Kygo,Norway,2017-05,2921426,8
5208,One Night Stand,Vidar Villa,Norway,2017-05,2880742,9
5209,Shape of You,Ed Sheeran,Norway,2017-05,2628830,10
5210,bad guy,Billie Eilish,Norway,2019-05,3271428,1
5211,I Don't Care (with Justin Bieber),Ed Sheeran,Norway,2019-05,3232338,2
5212,SOS,"Avicii, Aloe Blacc",Norway,2019-05,3020616,3
5213,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,Norway,2019-05,2567405,4
5214,Shallow,"Lady Gaga, Bradley Cooper",Norway,2019-05,2452285,5
5215,On My Way,"Alan Walker, Sabrina Carpenter, Farruko",Norway,2019-05,2329715,6
5216,Domen 2019,Soppgirobygget,Norway,2019-05,2261439,7
5217,"""Carry On (from the Original Motion Picture """"POKÉMON Detective Pikachu"""")""","Kygo, Rita Ora",Norway,2019-05,2101759,8
5218,So Am I,Ava Max,Norway,2019-05,2009551,9
5219,Old Town Road,Lil Nas X,Norway,2019-05,1965204,10
5220,Dance Monkey,Tones And I,Norway,2019-08,7408351,1
5221,Señorita,"Shawn Mendes, Camila Cabello",Norway,2019-08,4362702,2
5222,Ransom,Lil Tecca,Norway,2019-08,3052975,3
5223,HALLO,"Isah, Dutty Dior",Norway,2019-08,2904997,4
5224,Kem Kan Eg Ringe (feat. Store P & Lars Vaular),Kygo,Norway,2019-08,2561954,5
5225,Beautiful People (feat. Khalid),Ed Sheeran,Norway,2019-08,2521059,6
5226,Goodbyes (Feat. Young Thug),Post Malone,Norway,2019-08,2398320,7
5227,Higher Love,"Kygo, Whitney Houston",Norway,2019-08,2389075,8
5228,How Do You Sleep?,Sam Smith,Norway,2019-08,2065076,9
5229,Someone You Loved,Lewis Capaldi,Norway,2019-08,2052160,10
5230,Felices los 4,Maluma,Panama,2017-05,270749,1
5231,Ahora Dice,"Chris Jedi, J Balvin, Ozuna, Arcangel",Panama,2017-05,227344,2
5232,Me Rehúso,Danny Ocean,Panama,2017-05,208351,3
5233,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Panama,2017-05,205645,4
5234,Shape of You,Ed Sheeran,Panama,2017-05,202184,5
5235,Báilame,Nacho,Panama,2017-05,201967,6
5236,Escápate Conmigo,"Wisin, Ozuna",Panama,2017-05,190859,7
5237,Despacito (Featuring Daddy Yankee),Luis Fonsi,Panama,2017-05,185368,8
5238,El Amante,Nicky Jam,Panama,2017-05,171321,9
5239,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,Panama,2017-05,165576,10
5240,Felices los 4,Maluma,Panama,2017-06,257360,1
5241,Ahora Dice,"Chris Jedi, J Balvin, Ozuna, Arcangel",Panama,2017-06,216881,2
5242,Me Rehúso,Danny Ocean,Panama,2017-06,215750,3
5243,Escápate Conmigo,"Wisin, Ozuna",Panama,2017-06,213851,4
5244,Báilame,Nacho,Panama,2017-06,197195,5
5245,Shape of You,Ed Sheeran,Panama,2017-06,177053,6
5246,Tu Foto,Ozuna,Panama,2017-06,162067,7
5247,Hey DJ,"CNCO, Yandel",Panama,2017-06,160260,8
5248,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Panama,2017-06,159526,9
5249,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,Panama,2017-06,153422,10
5250,Tusa,"KAROL G, Nicki Minaj",Panama,2019-12,690131,1
5251,Vete,Bad Bunny,Panama,2019-12,560933,2
5252,Si Te Vas,"Sech, Ozuna",Panama,2019-12,426692,3
5253,Fantasias,"Rauw Alejandro, Farruko",Panama,2019-12,405736,4
5254,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Panama,2019-12,401635,5
5255,LA CANCIÓN,"J Balvin, Bad Bunny",Panama,2019-12,378885,6
5256,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Panama,2019-12,378863,7
5257,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",Panama,2019-12,365745,8
5258,Quizas,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",Panama,2019-12,346342,9
5259,Adicto (with Anuel AA & Ozuna),Tainy,Panama,2019-12,341989,10
5260,Ignorantes,"Bad Bunny, Sech",Panama,2020-03,702431,1
5261,Party En Mi Casa,Boza,Panama,2020-03,571747,2
5262,La Difícil,Bad Bunny,Panama,2020-03,538258,3
5263,Si Veo a Tu Mamá,Bad Bunny,Panama,2020-03,535514,4
5264,Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",Panama,2020-03,520397,5
5265,La Santa,"Bad Bunny, Daddy Yankee",Panama,2020-03,438040,6
5266,Vete,Bad Bunny,Panama,2020-03,437481,7
5267,Tusa,"KAROL G, Nicki Minaj",Panama,2020-03,430350,8
5268,Diosa,Myke Towers,Panama,2020-03,428746,9
5269,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Panama,2020-03,406277,10
5270,Ella,Boza,Panama,2021-05,705146,1
5271,Fiel,"Los Legendarios, Wisin, Jhay Cortez",Panama,2021-05,674620,2
5272,Pareja Del Año,"Sebastian Yatra, Myke Towers",Panama,2021-05,601175,3
5273,AM,"Nio Garcia, Flow La Movie",Panama,2021-05,525459,4
5274,911,Sech,Panama,2021-05,520199,5
5275,EL MAKINON,"KAROL G, Mariah Angeliq",Panama,2021-05,508935,6
5276,Bandido,"Myke Towers, Juhn",Panama,2021-05,479212,7
5277,Hecha Pa' Mi,Boza,Panama,2021-05,429826,8
5278,2/Catorce,"Rauw Alejandro, Mr. Naisgai",Panama,2021-05,427560,9
5279,Sal y Perrea,Sech,Panama,2021-05,417222,10
5280,Yonaguni,Bad Bunny,Panama,2021-08,695164,1
5281,Pepas,Farruko,Panama,2021-08,675971,2
5282,Volví,"Aventura, Bad Bunny",Panama,2021-08,669695,3
5283,Volando - Remix,"Mora, Bad Bunny, Sech",Panama,2021-08,652962,4
5284,Todo De Ti,Rauw Alejandro,Panama,2021-08,508500,5
5285,AM Remix,"Nio Garcia, J Balvin, Bad Bunny",Panama,2021-08,486529,6
5286,Qué Más Pues?,"J Balvin, Maria Becerra",Panama,2021-08,475381,7
5287,911 - Remix,"Sech, Jhay Cortez",Panama,2021-08,431814,8
5288,Ella,Boza,Panama,2021-08,387432,9
5289,En La Luna,Boza,Panama,2021-08,385801,10
5290,Felices los 4,Maluma,Paraguay,2017-06,412181,1
5291,Escápate Conmigo,"Wisin, Ozuna",Paraguay,2017-06,359320,2
5292,Me Rehúso,Danny Ocean,Paraguay,2017-06,349619,3
5293,Ahora Dice,"Chris Jedi, J Balvin, Ozuna, Arcangel",Paraguay,2017-06,310803,4
5294,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,Paraguay,2017-06,285993,5
5295,Hey DJ,"CNCO, Yandel",Paraguay,2017-06,278782,6
5296,Besándote,Piso 21,Paraguay,2017-06,233290,7
5297,Si Tú La Ves (feat. Wisin),Nicky Jam,Paraguay,2017-06,219161,8
5298,Shape of You,Ed Sheeran,Paraguay,2017-06,218529,9
5299,Sigo Extrañándote,J Balvin,Paraguay,2017-06,212073,10
5300,Amorfoda,Bad Bunny,Paraguay,2018-03,509999,1
5301,Bella,Wolfine,Paraguay,2018-03,451448,2
5302,Dura,Daddy Yankee,Paraguay,2018-03,426578,3
5303,X,"Nicky Jam, J Balvin",Paraguay,2018-03,421818,4
5304,Nena Maldicion (feat. Lenny Tavarez),"Paulo Londra, Lenny Tavárez",Paraguay,2018-03,419371,5
5305,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,Paraguay,2018-03,405912,6
5306,Me Niego (feat. Ozuna & Wisin),Reik,Paraguay,2018-03,366810,7
5307,Síguelo Bailando,Ozuna,Paraguay,2018-03,363551,8
5308,Dembow,Danny Ocean,Paraguay,2018-03,331856,9
5309,Solita,"Ozuna, Mambo Kingz, DJ Luian, Bad Bunny, Wisin, Almighty",Paraguay,2018-03,320130,10
5310,Pepas,Farruko,Paraguay,2021-08,2378142,1
5311,Yonaguni,Bad Bunny,Paraguay,2021-08,2143914,2
5312,Volando - Remix,"Mora, Bad Bunny, Sech",Paraguay,2021-08,2104019,3
5313,Volví,"Aventura, Bad Bunny",Paraguay,2021-08,2094022,4
5314,Entre Nosotros,"Tiago PZK, LIT killah",Paraguay,2021-08,1861408,5
5315,AM Remix,"Nio Garcia, J Balvin, Bad Bunny",Paraguay,2021-08,1764660,6
5316,Qué Más Pues?,"J Balvin, Maria Becerra",Paraguay,2021-08,1579221,7
5317,Sobrio,Maluma,Paraguay,2021-08,1531400,8
5318,911 - Remix,"Sech, Jhay Cortez",Paraguay,2021-08,1501153,9
5319,Todo De Ti,Rauw Alejandro,Paraguay,2021-08,1466105,10
5320,Callaita,"Bad Bunny, Tainy",Peru,2019-07,4765064,1
5321,Otro Trago,"Sech, Darell",Peru,2019-07,4345737,2
5322,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Peru,2019-07,3849957,3
5323,Soltera - Remix,"Lunay, Daddy Yankee, Bad Bunny",Peru,2019-07,3600559,4
5324,Pa Mí - Remix,"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez",Peru,2019-07,2826687,5
5325,Que Mas Pues - Remix,"Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez",Peru,2019-07,2696966,6
5326,Verte Ir,"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago",Peru,2019-07,2530097,7
5327,LA CANCIÓN,"J Balvin, Bad Bunny",Peru,2019-07,2434640,8
5328,Con Altura,"ROSALÍA, J Balvin, El Guincho",Peru,2019-07,2421518,9
5329,Runaway,"Sebastian Yatra, Daddy Yankee, Natti Natasha, Jonas Brothers",Peru,2019-07,2418959,10
5330,Relación,Sech,Peru,2020-06,2641323,1
5331,Favorito,Camilo,Peru,2020-06,2196469,2
5332,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez",Peru,2020-06,2163622,3
5333,Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",Peru,2020-06,1864324,4
5334,Tattoo,Rauw Alejandro,Peru,2020-06,1812797,5
5335,PORFA,"Feid, Justin Quiles",Peru,2020-06,1766029,6
5336,Blinding Lights,The Weeknd,Peru,2020-06,1708643,7
5337,Yo Perreo Sola,Bad Bunny,Peru,2020-06,1646229,8
5338,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Peru,2020-06,1614500,9
5339,Por Primera Vez,"Camilo, Evaluna Montaner",Peru,2020-06,1538912,10
